MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:88453	Col3a1	collagen, type III, alpha 1	1		collagen type III trimer			IDA		J:20667 	
MGI:88453	Col3a1	collagen, type III, alpha 1	1		collagen type III trimer			ISO	P02461 	J:164563 	
MGI:88453	Col3a1	collagen, type III, alpha 1	1		collagen-containing extracellular matrix	is a part of lung		HDA		J:265604 	
MGI:88453	Col3a1	collagen, type III, alpha 1	1		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:88453	Col3a1	collagen, type III, alpha 1	1		collagen-containing extracellular matrix	is a part of fibroblast		HDA		J:213088 	
MGI:88453	Col3a1	collagen, type III, alpha 1	1		collagen-containing extracellular matrix			ISO	RGD:71029 	J:155856 	
MGI:88453	Col3a1	collagen, type III, alpha 1	1		collagen-containing extracellular matrix			ISO	P02461 	J:164563 	
MGI:88453	Col3a1	collagen, type III, alpha 1	1		extracellular matrix			IBA	PTN004649045 	J:265628 	
MGI:88453	Col3a1	collagen, type III, alpha 1	1		extracellular matrix	is a part of lung		IDA		J:32939 	
MGI:88453	Col3a1	collagen, type III, alpha 1	1		extracellular matrix	is a part of palatal shelf epithelium		IDA		J:30059 	
MGI:88453	Col3a1	collagen, type III, alpha 1	1		extracellular matrix			IDA		J:52170 	
MGI:88454	Col4a1	collagen, type IV, alpha 1	8		basement membrane			IBA	PTN002770644 	J:265628 	
MGI:88454	Col4a1	collagen, type IV, alpha 1	8		basement membrane	is a part of embryo		IDA		J:139122 	
MGI:88454	Col4a1	collagen, type IV, alpha 1	8		basement membrane	is a part of embryo endoderm|is a part of embryo ectoderm|is a part of Reichert's membrane|is a part of extraembryonic ectoderm|is a part of extraembryonic endoderm|is a part of decidua		IDA		J:98797 	
MGI:88454	Col4a1	collagen, type IV, alpha 1	8		basement membrane	is a part of urinary system		IDA		J:71108 	
MGI:88454	Col4a1	collagen, type IV, alpha 1	8		basement membrane			IDA		J:74207 J:132545 	
MGI:88454	Col4a1	collagen, type IV, alpha 1	8		collagen type IV trimer			IDA		J:78275 	
MGI:88454	Col4a1	collagen, type IV, alpha 1	8		collagen type IV trimer			ISO	P02462 	J:164563 	
MGI:88454	Col4a1	collagen, type IV, alpha 1	8		collagen-containing extracellular matrix	is a part of colon		HDA		J:265604 	
MGI:88454	Col4a1	collagen, type IV, alpha 1	8		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:88454	Col4a1	collagen, type IV, alpha 1	8		collagen-containing extracellular matrix	is a part of fibroblast		HDA		J:213088 	
MGI:88454	Col4a1	collagen, type IV, alpha 1	8		extracellular matrix			IBA	PTN004649045 	J:265628 	
MGI:88455	Col4a2	collagen, type IV, alpha 2	8		basement membrane	is a part of embryo		IDA		J:139122 	
MGI:88455	Col4a2	collagen, type IV, alpha 2	8		basement membrane			IDA		J:74207 J:132545 	
MGI:88455	Col4a2	collagen, type IV, alpha 2	8		collagen type IV trimer			IBA	PTN002770666 	J:265628 	
MGI:88455	Col4a2	collagen, type IV, alpha 2	8		collagen type IV trimer			IDA		J:78275 	
MGI:88455	Col4a2	collagen, type IV, alpha 2	8		collagen-containing extracellular matrix	is a part of lung|is a part of colon		HDA		J:265604 	
MGI:88455	Col4a2	collagen, type IV, alpha 2	8		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:88455	Col4a2	collagen, type IV, alpha 2	8		collagen-containing extracellular matrix	is a part of fibroblast		HDA		J:213088 	
MGI:88455	Col4a2	collagen, type IV, alpha 2	8		extracellular matrix			IBA	PTN004649045 	J:265628 	
MGI:104688	Col4a3	collagen, type IV, alpha 3	1		basement membrane			IBA	PTN002770644 	J:265628 	
MGI:104688	Col4a3	collagen, type IV, alpha 3	1		basement membrane	is a part of embryo		IDA		J:139122 	
MGI:104688	Col4a3	collagen, type IV, alpha 3	1		basement membrane			IDA		J:74207 J:132545 	
MGI:104688	Col4a3	collagen, type IV, alpha 3	1		basement membrane			ISO	Q01955 	J:164563 	
MGI:104688	Col4a3	collagen, type IV, alpha 3	1		collagen type IV trimer			IDA		J:78275 	
MGI:104688	Col4a3	collagen, type IV, alpha 3	1		collagen type IV trimer			ISO	Q01955 	J:164563 	
MGI:104688	Col4a3	collagen, type IV, alpha 3	1		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:104688	Col4a3	collagen, type IV, alpha 3	1		extracellular matrix			IBA	PTN004649045 	J:265628 	
MGI:104687	Col4a4	collagen, type IV, alpha 4	1		basement membrane			IBA	PTN002770644 	J:265628 	
MGI:104687	Col4a4	collagen, type IV, alpha 4	1		basement membrane			IDA		J:42107 J:58257 J:74207 J:150527 	
MGI:104687	Col4a4	collagen, type IV, alpha 4	1		basement membrane			ISO	P53420 	J:164563 	
MGI:104687	Col4a4	collagen, type IV, alpha 4	1		collagen type IV trimer			IBA	PTN002513086 	J:265628 	
MGI:104687	Col4a4	collagen, type IV, alpha 4	1		collagen type IV trimer			IDA		J:21122 	
MGI:104687	Col4a4	collagen, type IV, alpha 4	1		collagen type IV trimer			ISO	P53420 	J:164563 	
MGI:104687	Col4a4	collagen, type IV, alpha 4	1		collagen-containing extracellular matrix	is a part of lung|is a part of colon		HDA		J:265604 	
MGI:104687	Col4a4	collagen, type IV, alpha 4	1		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:104687	Col4a4	collagen, type IV, alpha 4	1		extracellular matrix			IBA	PTN004649045 	J:265628 	
MGI:88456	Col4a5	collagen, type IV, alpha 5	X		basement membrane			IBA	PTN002770644 	J:265628 	
MGI:88456	Col4a5	collagen, type IV, alpha 5	X		basement membrane	is a part of embryo		IDA		J:139122 	
MGI:88456	Col4a5	collagen, type IV, alpha 5	X		basement membrane	is a part of skeletal muscle tissue		IDA		J:23783 	
MGI:88456	Col4a5	collagen, type IV, alpha 5	X		basement membrane			IDA		J:42107 J:58257 J:74207 J:150527 	
MGI:88456	Col4a5	collagen, type IV, alpha 5	X		collagen type IV trimer			IDA		J:78275 	
MGI:88456	Col4a5	collagen, type IV, alpha 5	X		collagen-containing extracellular matrix	is a part of lung		HDA		J:265604 	
MGI:88456	Col4a5	collagen, type IV, alpha 5	X		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:88456	Col4a5	collagen, type IV, alpha 5	X		extracellular matrix			IBA	PTN004649045 	J:265628 	
MGI:2152695	Col4a6	collagen, type IV, alpha 6	X		basement membrane	is a part of embryo		IDA		J:139122 	
MGI:2152695	Col4a6	collagen, type IV, alpha 6	X		basement membrane			IDA		J:58257 J:74207 J:150527 	
MGI:2152695	Col4a6	collagen, type IV, alpha 6	X		collagen type IV trimer			IBA	PTN002770666 	J:265628 	
MGI:2152695	Col4a6	collagen, type IV, alpha 6	X		collagen type IV trimer			IDA		J:70987 J:78275 	
MGI:2152695	Col4a6	collagen, type IV, alpha 6	X		collagen-containing extracellular matrix	is a part of colon		HDA		J:265604 	
MGI:2152695	Col4a6	collagen, type IV, alpha 6	X		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:2152695	Col4a6	collagen, type IV, alpha 6	X		extracellular matrix			IBA	PTN004649045 	J:265628 	
MGI:88457	Col5a1	collagen, type V, alpha 1	2		basement membrane			IDA		J:87900 	
MGI:88457	Col5a1	collagen, type V, alpha 1	2		collagen type V trimer			IBA	PTN002771332 	J:265628 	
MGI:88457	Col5a1	collagen, type V, alpha 1	2		collagen type V trimer			ISO	P20908 	J:164563 	
MGI:88457	Col5a1	collagen, type V, alpha 1	2		collagen-containing extracellular matrix	is a part of lung|is a part of colon		HDA		J:265604 	
MGI:88457	Col5a1	collagen, type V, alpha 1	2		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:88457	Col5a1	collagen, type V, alpha 1	2		collagen-containing extracellular matrix	is a part of fibroblast		HDA		J:213088 	
MGI:88457	Col5a1	collagen, type V, alpha 1	2		collagen-containing extracellular matrix			ISO	P20908 	J:164563 	
MGI:88457	Col5a1	collagen, type V, alpha 1	2		extracellular matrix			IBA	PTN004649045 	J:265628 	
MGI:88457	Col5a1	collagen, type V, alpha 1	2		extracellular matrix	is a part of heart valve|is a part of left ventricle cardiac muscle|is a part of right ventricle cardiac muscle		IDA		J:116643 	
MGI:88458	Col5a2	collagen, type V, alpha 2	1		collagen type V trimer			IBA	PTN002770842 	J:265628 	
MGI:88458	Col5a2	collagen, type V, alpha 2	1		collagen type V trimer			ISO	P05997 	J:164563 	
MGI:88458	Col5a2	collagen, type V, alpha 2	1		collagen-containing extracellular matrix	is a part of lung|is a part of colon		HDA		J:265604 	
MGI:88458	Col5a2	collagen, type V, alpha 2	1		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:88458	Col5a2	collagen, type V, alpha 2	1		collagen-containing extracellular matrix	is a part of fibroblast		HDA		J:213088 	
MGI:88458	Col5a2	collagen, type V, alpha 2	1		extracellular matrix			IBA	PTN004649045 	J:265628 	
MGI:1858212	Col5a3	collagen, type V, alpha 3	9		collagen type V trimer			IDA		J:99592 	
MGI:1858212	Col5a3	collagen, type V, alpha 3	9		collagen type V trimer			ISS		J:61325 	
MGI:1858212	Col5a3	collagen, type V, alpha 3	9		collagen-containing extracellular matrix	is a part of lung|is a part of colon		HDA		J:265604 	
MGI:1858212	Col5a3	collagen, type V, alpha 3	9		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:1858212	Col5a3	collagen, type V, alpha 3	9		collagen-containing extracellular matrix			ISO	RGD:70922 	J:155856 	
MGI:1858212	Col5a3	collagen, type V, alpha 3	9		extracellular matrix			IBA	PTN004649045 	J:265628 	
MGI:88459	Col6a1	collagen, type VI, alpha 1	10		collagen-containing extracellular matrix	is a part of lung|is a part of colon		HDA		J:265604 	
MGI:88459	Col6a1	collagen, type VI, alpha 1	10		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:88459	Col6a1	collagen, type VI, alpha 1	10		collagen-containing extracellular matrix	is a part of fibroblast		HDA		J:213088 	
MGI:88459	Col6a1	collagen, type VI, alpha 1	10		collagen-containing extracellular matrix			IBA	PTN002770396 	J:265628 	
MGI:88459	Col6a1	collagen, type VI, alpha 1	10		extracellular matrix	is a part of embryo		IDA		J:35195 	
MGI:88459	Col6a1	collagen, type VI, alpha 1	10		extracellular matrix	is a part of upper arm muscle,is a part of cell of skeletal muscle		IDA		J:113292 	
MGI:88460	Col6a2	collagen, type VI, alpha 2	10		collagen-containing extracellular matrix	is a part of lung|is a part of colon		HDA		J:265604 	
MGI:88460	Col6a2	collagen, type VI, alpha 2	10		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:88460	Col6a2	collagen, type VI, alpha 2	10		collagen-containing extracellular matrix	is a part of fibroblast		HDA		J:213088 	
MGI:88460	Col6a2	collagen, type VI, alpha 2	10		collagen-containing extracellular matrix			IBA	PTN002770396 	J:265628 	
MGI:88460	Col6a2	collagen, type VI, alpha 2	10		extracellular matrix	is a part of embryo		IDA		J:35195 	
MGI:88460	Col6a2	collagen, type VI, alpha 2	10		extracellular matrix	is a part of upper arm muscle,is a part of cell of skeletal muscle		IDA		J:113292 	
MGI:88461	Col6a3	collagen, type VI, alpha 3	1		collagen-containing extracellular matrix	is a part of lung|is a part of colon		HDA		J:265604 	
MGI:88461	Col6a3	collagen, type VI, alpha 3	1		collagen-containing extracellular matrix	is a part of islets of Langerhans	UniProtKB:J3QQ16	HDA		J:265607 	
MGI:88461	Col6a3	collagen, type VI, alpha 3	1		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:88461	Col6a3	collagen, type VI, alpha 3	1		collagen-containing extracellular matrix			IBA	PTN002770396 	J:265628 	
MGI:88461	Col6a3	collagen, type VI, alpha 3	1		extracellular matrix	is a part of embryo		IDA		J:35195 	
MGI:88461	Col6a3	collagen, type VI, alpha 3	1		extracellular matrix	is a part of upper arm muscle,is a part of cell of skeletal muscle		IDA		J:113292 	
MGI:88461	Col6a3	collagen, type VI, alpha 3	1		extracellular matrix			ISO	P12111 	J:138755 	
MGI:1915803	Col6a4	collagen, type VI, alpha 4	9		collagen-containing extracellular matrix	is a part of colon		HDA		J:265604 	
MGI:1915803	Col6a4	collagen, type VI, alpha 4	9		extracellular matrix			IDA		J:229828 	
MGI:3648134	Col6a5	collagen, type VI, alpha 5	9		collagen-containing extracellular matrix	is a part of lung|is a part of colon		HDA		J:265604 	
MGI:3648134	Col6a5	collagen, type VI, alpha 5	9		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:3648134	Col6a5	collagen, type VI, alpha 5	9		extracellular matrix	is a part of skeletal muscle		IDA		J:208903 	
MGI:2444259	Col6a6	collagen, type VI, alpha 6	9		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:2444259	Col6a6	collagen, type VI, alpha 6	9		extracellular matrix			ISO	A6NMZ7 	J:138755 	
MGI:88462	Col7a1	collagen, type VII, alpha 1	9		basement membrane	is a part of EMAPA:17525		IDA		J:154510 	
MGI:88462	Col7a1	collagen, type VII, alpha 1	9		basement membrane	is a part of embryo		IDA		J:139122 	
MGI:88462	Col7a1	collagen, type VII, alpha 1	9		collagen-containing extracellular matrix	is a part of lung|is a part of colon		HDA		J:265604 	
MGI:88462	Col7a1	collagen, type VII, alpha 1	9		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:88462	Col7a1	collagen, type VII, alpha 1	9		collagen-containing extracellular matrix			IBA	PTN002770396 	J:265628 	
MGI:88463	Col8a1	collagen, type VIII, alpha 1	16		basement membrane			IEA	KW-0084 	J:60000 	
MGI:88463	Col8a1	collagen, type VIII, alpha 1	16		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:88463	Col8a1	collagen, type VIII, alpha 1	16		extracellular matrix			IBA	PTN004649045 	J:265628 	
MGI:88464	Col8a2	collagen, type VIII, alpha 2	4		basement membrane			IEA	KW-0084 	J:60000 	
MGI:88464	Col8a2	collagen, type VIII, alpha 2	4		extracellular matrix			IBA	PTN004649045 	J:265628 	
MGI:88465	Col9a1	collagen, type IX, alpha 1	1		basement membrane			IBA	PTN002770644 	J:265628 	
MGI:88465	Col9a1	collagen, type IX, alpha 1	1		extracellular matrix			IBA	PTN004649045 	J:265628 	
MGI:88466	Col9a2	collagen, type IX, alpha 2	4		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:88466	Col9a2	collagen, type IX, alpha 2	4		extracellular matrix			IBA	PTN004649045 	J:265628 	
MGI:894686	Col9a3	collagen, type IX, alpha 3	2		basement membrane			IBA	PTN002770644 	J:265628 	
MGI:894686	Col9a3	collagen, type IX, alpha 3	2		collagen-containing extracellular matrix	is a part of colon		HDA		J:265604 	
MGI:894686	Col9a3	collagen, type IX, alpha 3	2		extracellular matrix			IBA	PTN004649045 	J:265628 	
MGI:88445	Col10a1	collagen, type X, alpha 1	10		collagen type X trimer			ISO	Q03692 	J:164563 	
MGI:88445	Col10a1	collagen, type X, alpha 1	10		collagen-containing extracellular matrix	is a part of lung|is a part of colon		HDA		J:265604 	
MGI:88445	Col10a1	collagen, type X, alpha 1	10		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:88445	Col10a1	collagen, type X, alpha 1	10		collagen-containing extracellular matrix			ISO	RGD:2371 	J:155856 	
MGI:88445	Col10a1	collagen, type X, alpha 1	10		extracellular matrix			IBA	PTN004649045 	J:265628 	
MGI:88445	Col10a1	collagen, type X, alpha 1	10		extracellular matrix	is a part of hypertrophic cartilage zone		IDA		J:45403 	
MGI:88445	Col10a1	collagen, type X, alpha 1	10		extracellular matrix	is a part of long bone epiphyseal plate		IDA		J:182341 	
MGI:88446	Col11a1	collagen, type XI, alpha 1	3		collagen type XI trimer			IBA	PTN002771318 	J:265628 	
MGI:88446	Col11a1	collagen, type XI, alpha 1	3		collagen type XI trimer			ISO	P12107 	J:164563 	
MGI:88446	Col11a1	collagen, type XI, alpha 1	3		collagen-containing extracellular matrix	is a part of islets of Langerhans,is a part of islets of Langerhans		HDA		J:265607 	
MGI:88446	Col11a1	collagen, type XI, alpha 1	3		collagen-containing extracellular matrix			ISO	RGD:2372 	J:155856 	
MGI:88446	Col11a1	collagen, type XI, alpha 1	3		extracellular matrix			IBA	PTN004649045 	J:265628 	
MGI:88446	Col11a1	collagen, type XI, alpha 1	3		extracellular matrix	is a part of hindlimb|is a part of tibia|is a part of articular cartilage|is a part of cartilage		IDA		J:215404 	
MGI:88446	Col11a1	collagen, type XI, alpha 1	3		extracellular matrix	is a part of heart valve|is a part of left ventricle cardiac muscle|is a part of right ventricle cardiac muscle		IDA		J:116643 	
MGI:88447	Col11a2	collagen, type XI, alpha 2	17		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:88447	Col11a2	collagen, type XI, alpha 2	17		extracellular matrix			IBA	PTN004649045 	J:265628 	
MGI:88448	Col12a1	collagen, type XII, alpha 1	9		collagen-containing extracellular matrix	is a part of lung,is a part of lung		HDA		J:265604 	
MGI:88448	Col12a1	collagen, type XII, alpha 1	9		collagen-containing extracellular matrix	is a part of colon	UniProtKB:Q60847-5	HDA		J:265604 	
MGI:88448	Col12a1	collagen, type XII, alpha 1	9		collagen-containing extracellular matrix	is a part of islets of Langerhans	UniProtKB:Q60847-2	HDA		J:265607 	
MGI:88448	Col12a1	collagen, type XII, alpha 1	9		collagen-containing extracellular matrix	is a part of fibroblast,is a part of fibroblast		HDA		J:213088 	
MGI:88448	Col12a1	collagen, type XII, alpha 1	9		collagen-containing extracellular matrix			IBA	PTN002770396 	J:265628 	
MGI:1277201	Col13a1	collagen, type XIII, alpha 1	10		collagen-containing extracellular matrix	is a part of colon	UniProtKB:Q9R1N9-2	HDA		J:265604 	
MGI:1277201	Col13a1	collagen, type XIII, alpha 1	10		extracellular matrix			IBA	PTN004649045 	J:265628 	
MGI:1341272	Col14a1	collagen, type XIV, alpha 1	15		collagen-containing extracellular matrix	is a part of lung|is a part of colon		HDA		J:265604 	
MGI:1341272	Col14a1	collagen, type XIV, alpha 1	15		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:1341272	Col14a1	collagen, type XIV, alpha 1	15		collagen-containing extracellular matrix			IBA	PTN002770396 	J:265628 	
MGI:1341272	Col14a1	collagen, type XIV, alpha 1	15		interstitial matrix			IBA	PTN002770527 	J:265628 	
MGI:1341272	Col14a1	collagen, type XIV, alpha 1	15		interstitial matrix	is a part of ventricle cardiac muscle|is a part of left ventricle cardiac muscle|is a part of right ventricle cardiac muscle		IDA		J:189252 	
MGI:88449	Col15a1	collagen, type XV, alpha 1	4		basement membrane	is a part of embryo		IDA		J:139122 	
MGI:88449	Col15a1	collagen, type XV, alpha 1	4		collagen-containing extracellular matrix	is a part of lung|is a part of colon		HDA		J:265604 	
MGI:88449	Col15a1	collagen, type XV, alpha 1	4		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:88449	Col15a1	collagen, type XV, alpha 1	4		extracellular matrix			IBA	PTN004649045 	J:265628 	
MGI:1095396	Col16a1	collagen, type XVI, alpha 1	4		collagen type V trimer			IBA	PTN002770842 	J:265628 	
MGI:1095396	Col16a1	collagen, type XVI, alpha 1	4		collagen-containing extracellular matrix	is a part of lung|is a part of colon		HDA		J:265604 	
MGI:1095396	Col16a1	collagen, type XVI, alpha 1	4		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:1095396	Col16a1	collagen, type XVI, alpha 1	4		extracellular matrix			IBA	PTN004649045 	J:265628 	
MGI:88450	Col17a1	collagen, type XVII, alpha 1	19		basement membrane			IEA	KW-0084 	J:60000 	
MGI:88450	Col17a1	collagen, type XVII, alpha 1	19		extracellular matrix			IBA	PTN004649045 	J:265628 	
MGI:88451	Col18a1	collagen, type XVIII, alpha 1	10		basement membrane	is a part of embryo		IDA		J:139122 	
MGI:88451	Col18a1	collagen, type XVIII, alpha 1	10		basement membrane	is a part of skin		IDA		J:154510 	
MGI:88451	Col18a1	collagen, type XVIII, alpha 1	10		basement membrane	is a part of blood vessel|is a part of choroid plexus|is a part of brain pia mater		IDA		J:92842 	
MGI:88451	Col18a1	collagen, type XVIII, alpha 1	10		basement membrane			IDA		J:28734 J:81999 	
MGI:88451	Col18a1	collagen, type XVIII, alpha 1	10		collagen-containing extracellular matrix	is a part of lung|is a part of colon		HDA		J:265604 	
MGI:88451	Col18a1	collagen, type XVIII, alpha 1	10		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:88451	Col18a1	collagen, type XVIII, alpha 1	10		extracellular matrix			IBA	PTN004649045 	J:265628 	
MGI:1095415	Col19a1	collagen, type XIX, alpha 1	1		extracellular matrix			IBA	PTN004649045 	J:265628 	
MGI:1920618	Col20a1	collagen, type XX, alpha 1	2		collagen-containing extracellular matrix			IBA	PTN002770396 	J:265628 	
MGI:1916950	Col22a1	collagen, type XXII, alpha 1	15		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:1916950	Col22a1	collagen, type XXII, alpha 1	15		extracellular matrix			IBA	PTN004649045 	J:265628 	
MGI:2653243	Col23a1	collagen, type XXIII, alpha 1	11		collagen-containing extracellular matrix	is a part of lung		HDA		J:265604 	
MGI:2653243	Col23a1	collagen, type XXIII, alpha 1	11		extracellular matrix			IBA	PTN004649045 	J:265628 	
MGI:1918605	Col24a1	collagen, type XXIV, alpha 1	3		collagen-containing extracellular matrix	is a part of colon		HDA		J:265604 	
MGI:1918605	Col24a1	collagen, type XXIV, alpha 1	3		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:1918605	Col24a1	collagen, type XXIV, alpha 1	3		extracellular matrix			IBA	PTN004649045 	J:265628 	
MGI:1924268	Col25a1	collagen, type XXV, alpha 1	3		collagen-containing extracellular matrix	is a part of lung		HDA		J:265604 	
MGI:1924268	Col25a1	collagen, type XXV, alpha 1	3		extracellular matrix			IBA	PTN004649045 	J:265628 	
MGI:2155345	Col26a1	collagen, type XXVI, alpha 1	5		extracellular matrix			IDA		J:78991 	
MGI:2672118	Col27a1	collagen, type XXVII, alpha 1	4		collagen-containing extracellular matrix	is a part of lung,is a part of lung|is a part of colon,is a part of colon		HDA		J:265604 	
MGI:2672118	Col27a1	collagen, type XXVII, alpha 1	4		collagen-containing extracellular matrix	is a part of islets of Langerhans,is a part of islets of Langerhans		HDA		J:265607 	
MGI:2672118	Col27a1	collagen, type XXVII, alpha 1	4		extracellular matrix			IBA	PTN004649045 	J:265628 	
MGI:2672118	Col27a1	collagen, type XXVII, alpha 1	4		fibrillar collagen trimer	is a part of cartilage|is a part of rib		IDA		J:121268 	
MGI:2685312	Col28a1	collagen, type XXVIII, alpha 1	6		basement membrane	is a part of dorsal root ganglion,is a part of Schwann cell		IDA		J:167409 	
MGI:2685312	Col28a1	collagen, type XXVIII, alpha 1	6		basement membrane			IDA		J:108496 	
MGI:2685312	Col28a1	collagen, type XXVIII, alpha 1	6		collagen-containing extracellular matrix	is a part of lung	UniProtKB:Q2UY11-2	HDA		J:265604 	
MGI:2685312	Col28a1	collagen, type XXVIII, alpha 1	6		collagen-containing extracellular matrix	is a part of colon		HDA		J:265604 	
MGI:2685312	Col28a1	collagen, type XXVIII, alpha 1	6		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:2685312	Col28a1	collagen, type XXVIII, alpha 1	6		extracellular matrix			IBA	PTN004649045 	J:265628 	
MGI:2152907	Colec12	collectin sub-family member 12	18		collagen-containing extracellular matrix	is a part of lung		HDA		J:265604 	
MGI:1338761	Colq	collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase	14		collagen-containing extracellular matrix	is a part of lung|is a part of colon		HDA		J:265604 	
MGI:1338761	Colq	collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase	14		extracellular matrix			IBA	PTN004649045 	J:265628 	
MGI:88469	Comp	cartilage oligomeric matrix protein	8		collagen-containing extracellular matrix			IBA	PTN002565423 	J:265628 	
MGI:88469	Comp	cartilage oligomeric matrix protein	8		collagen-containing extracellular matrix			ISO	RGD:2378 	J:155856 	
MGI:1919006	Cpn2	carboxypeptidase N, polypeptide 2	16		collagen-containing extracellular matrix	is a part of lung		HDA		J:265604 	
MGI:1919006	Cpn2	carboxypeptidase N, polypeptide 2	16		extracellular matrix			IBA	PTN001224703 	J:265628 	
MGI:88487	Cpz	carboxypeptidase Z	5		extracellular matrix			TAS		J:69384 	
MGI:1926142	Crispld2	cysteine-rich secretory protein LCCL domain containing 2	8		extracellular matrix			IDA		J:139122 	
MGI:2153093	Cspg4	chondroitin sulfate proteoglycan 4	9		collagen-containing extracellular matrix	is a part of lung		HDA		J:265604 	
MGI:2153093	Cspg4	chondroitin sulfate proteoglycan 4	9		collagen-containing extracellular matrix	is a part of colon		HDA		J:265604 	
MGI:102519	Cst3	cystatin C	2		basement membrane			ISO	RGD:2432 	J:155856 	
MGI:102519	Cst3	cystatin C	2		collagen-containing extracellular matrix	is a part of EMAPA:32927		HDA		J:265607 	
MGI:109514	Cstb	cystatin B	10		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:1915838	Cthrc1	collagen triple helix repeat containing 1	15		extracellular matrix			ISO	Q8CG08 	J:73065 	
MGI:88561	Ctsb	cathepsin B	14		collagen-containing extracellular matrix	is a part of lung		HDA		J:265604 	
MGI:88561	Ctsb	cathepsin B	14		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:109553	Ctsc	cathepsin C	7		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:88562	Ctsd	cathepsin D	7		collagen-containing extracellular matrix	is a part of EMAPA:32927		HDA		J:265607 	
MGI:88564	Ctsl	cathepsin L	13		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:1891190	Ctsz	cathepsin Z	2		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:101864	Dag1	dystroglycan 1	9		basement membrane			IBA	PTN002727163 	J:265628 	
MGI:101864	Dag1	dystroglycan 1	9		basement membrane	is a part of future spinal cord		IDA		J:194150 	
MGI:101864	Dag1	dystroglycan 1	9		basement membrane	is a part of salivary gland|is a part of pancreas|is a part of smooth muscle tissue|is a part of epithelium		IDA		J:46802 	
MGI:101864	Dag1	dystroglycan 1	9		basement membrane	is a part of submandibular gland epithelium,is a part of epithelial cell|is a part of left lung lobar bronchus epithelium,is a part of epithelial cell|is a part of right lung lobar bronchus epithelium,is a part of epithelial cell		IDA		J:73859 	
MGI:101864	Dag1	dystroglycan 1	9		basement membrane			ISO	Q14118 	J:164563 	
MGI:94872	Dcn	decorin	10		collagen-containing extracellular matrix	is a part of lung|is a part of colon		HDA		J:265604 	
MGI:94872	Dcn	decorin	10		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:94872	Dcn	decorin	10		extracellular matrix			ISO	RGD:61895 	J:155856 	
MGI:94872	Dcn	decorin	10		extracellular matrix			ISS		J:14605 	
MGI:107231	Dlg1	discs large MAGUK scaffold protein 1	16		basement membrane			IDA		J:202984 	
MGI:106210	Dmbt1	deleted in malignant brain tumors 1	7		collagen-containing extracellular matrix	is a part of colon,is a part of colon		HDA		J:265604 	
