MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:2685556	Adamts13	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 13	2		extracellular matrix			IBA	PTN000347317 	J:265628 	
MGI:2179942	Adamts14	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 14	10		extracellular matrix			IBA	PTN000347317 	J:265628 	
MGI:2449569	Adamts15	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 15	9		collagen-containing extracellular matrix			IEA	IPR013277 	J:72247 	
MGI:2449569	Adamts15	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 15	9		extracellular matrix			IBA	PTN000347317 	J:265628 	
MGI:2429637	Adamts16	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 16	13		extracellular matrix			IBA	PTN000347317 	J:265628 	
MGI:3588195	Adamts17	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 17	7		collagen-containing extracellular matrix	is a part of lung	UniProtKB:D3YX90	HDA		J:265604 	
MGI:3588195	Adamts17	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 17	7		extracellular matrix			IBA	PTN000347317 	J:265628 	
MGI:2442600	Adamts18	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 18	8		extracellular matrix			IBA	PTN000347317 	J:265628 	
MGI:2442875	Adamts19	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 19	18		extracellular matrix			IBA	PTN000347317 	J:265628 	
MGI:2660628	Adamts20	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 20	15		extracellular matrix			IBA	PTN000347317 	J:265628 	
MGI:1924989	Adamtsl1	ADAMTS-like 1	4		collagen-containing extracellular matrix	is a part of lung		HDA		J:265604 	
MGI:1924989	Adamtsl1	ADAMTS-like 1	4		collagen-containing extracellular matrix	is a part of colon		HDA		J:265604 	
MGI:1924989	Adamtsl1	ADAMTS-like 1	4		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:1924989	Adamtsl1	ADAMTS-like 1	4		extracellular matrix			IBA	PTN000347317 	J:265628 	
MGI:1925044	Adamtsl2	ADAMTS-like 2	2		extracellular matrix			IBA	PTN000347317 	J:265628 	
MGI:1925044	Adamtsl2	ADAMTS-like 2	2		extracellular matrix			IDA		J:124013 	
MGI:3028499	Adamtsl3	ADAMTS-like 3	7		extracellular matrix			IBA	PTN000347317 	J:265628 	
MGI:2389008	Adamtsl4	ADAMTS-like 4	3		extracellular matrix			IDA		J:139122 	
MGI:2389008	Adamtsl4	ADAMTS-like 4	3		interstitial matrix	is a part of tendon|is a part of ligament		IDA		J:139122 	
MGI:1913798	Adamtsl5	ADAMTS-like 5	10		collagen-containing extracellular matrix	is a part of lung		HDA		J:265604 	
MGI:1913798	Adamtsl5	ADAMTS-like 5	10		extracellular matrix	is a part of rib cartilage		IDA		J:192744 	
MGI:1913798	Adamtsl5	ADAMTS-like 5	10		extracellular matrix			ISO	Q6ZMM2 	J:73065 	
MGI:1913798	Adamtsl5	ADAMTS-like 5	10		microfibril			ISO	Q6ZMM2 	J:164563 	
MGI:87961	Agrn	agrin	4		basement membrane		PR:M0QWP1	IDA		J:64996 	
MGI:87961	Agrn	agrin	4		basement membrane	is a part of embryo		IDA		J:139122 	
MGI:87961	Agrn	agrin	4		basement membrane	is a part of glomerular tuft,is a part of glomerular tuft		IDA		J:27732 	
MGI:87961	Agrn	agrin	4		basement membrane			ISO	RGD:2067 	J:155856 	
MGI:87961	Agrn	agrin	4		basement membrane			ISO	O00468 	J:164563 	
