MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:104687	Col4a4	collagen, type IV, alpha 4	1		collagen type IV trimer			IBA	PTN002513086 	J:265628 	
MGI:104687	Col4a4	collagen, type IV, alpha 4	1		collagen type IV trimer			IDA		J:21122 	
MGI:104687	Col4a4	collagen, type IV, alpha 4	1		collagen type IV trimer			ISO	P53420 	J:164563 	
MGI:88456	Col4a5	collagen, type IV, alpha 5	X		collagen type IV trimer			IDA		J:78275 	
MGI:2152695	Col4a6	collagen, type IV, alpha 6	X		collagen type IV trimer			IBA	PTN002770666 	J:265628 	
MGI:2152695	Col4a6	collagen, type IV, alpha 6	X		collagen type IV trimer			IDA		J:70987 J:78275 	
MGI:88457	Col5a1	collagen, type V, alpha 1	2		collagen trimer			IDA		J:128357 J:113133 	
MGI:88457	Col5a1	collagen, type V, alpha 1	2		collagen trimer			IMP	MGI:3664598 	J:112728 	
MGI:88457	Col5a1	collagen, type V, alpha 1	2		collagen type V trimer			IBA	PTN002771332 	J:265628 	
MGI:88457	Col5a1	collagen, type V, alpha 1	2		collagen type V trimer			ISO	P20908 	J:164563 	
MGI:88458	Col5a2	collagen, type V, alpha 2	1		collagen trimer			IDA		J:22301 	
MGI:88458	Col5a2	collagen, type V, alpha 2	1		collagen type V trimer			IBA	PTN002770842 	J:265628 	
MGI:88458	Col5a2	collagen, type V, alpha 2	1		collagen type V trimer			ISO	P05997 	J:164563 	
MGI:1858212	Col5a3	collagen, type V, alpha 3	9		collagen type V trimer			IDA		J:99592 	
MGI:1858212	Col5a3	collagen, type V, alpha 3	9		collagen type V trimer			ISS		J:61325 	
MGI:88459	Col6a1	collagen, type VI, alpha 1	10		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:88460	Col6a2	collagen, type VI, alpha 2	10		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:88461	Col6a3	collagen, type VI, alpha 3	1		collagen trimer			IDA		J:208903 	
MGI:1915803	Col6a4	collagen, type VI, alpha 4	9		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:3648134	Col6a5	collagen, type VI, alpha 5	9		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:2444259	Col6a6	collagen, type VI, alpha 6	9		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:88462	Col7a1	collagen, type VII, alpha 1	9		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:88463	Col8a1	collagen, type VIII, alpha 1	16		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:88464	Col8a2	collagen, type VIII, alpha 2	4		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:88465	Col9a1	collagen, type IX, alpha 1	1		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:88465	Col9a1	collagen, type IX, alpha 1	1		collagen type IX trimer			IBA	PTN002770847 	J:265628 	
MGI:88465	Col9a1	collagen, type IX, alpha 1	1		collagen type IX trimer			ISO	P20849 	J:164563 	
MGI:88466	Col9a2	collagen, type IX, alpha 2	4		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:88466	Col9a2	collagen, type IX, alpha 2	4		collagen type IX trimer			ISO	Q14055 	J:164563 	
MGI:894686	Col9a3	collagen, type IX, alpha 3	2		collagen type IX trimer			IBA	PTN002770682 	J:265628 	
MGI:894686	Col9a3	collagen, type IX, alpha 3	2		collagen type IX trimer			ISO	Q14050 	J:164563 	
MGI:88445	Col10a1	collagen, type X, alpha 1	10		collagen trimer	is a part of long bone epiphyseal plate hypertrophic zone|is a part of femur		IDA		J:166870 	
MGI:88445	Col10a1	collagen, type X, alpha 1	10		collagen type X trimer			ISO	Q03692 	J:164563 	
MGI:88446	Col11a1	collagen, type XI, alpha 1	3		collagen trimer			IDA		J:128357 	
MGI:88446	Col11a1	collagen, type XI, alpha 1	3		collagen type XI trimer			IBA	PTN002771318 	J:265628 	
MGI:88446	Col11a1	collagen, type XI, alpha 1	3		collagen type XI trimer			ISO	P12107 	J:164563 	
MGI:88447	Col11a2	collagen, type XI, alpha 2	17		collagen trimer			IBA	PTN002771346 	J:265628 	
MGI:88447	Col11a2	collagen, type XI, alpha 2	17		collagen trimer			IDA		J:128357 	
MGI:88448	Col12a1	collagen, type XII, alpha 1	9		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:1277201	Col13a1	collagen, type XIII, alpha 1	10		collagen trimer			IBA	PTN002771202 	J:265628 	
MGI:1341272	Col14a1	collagen, type XIV, alpha 1	15		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:88449	Col15a1	collagen, type XV, alpha 1	4		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:1095396	Col16a1	collagen, type XVI, alpha 1	4		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:1095396	Col16a1	collagen, type XVI, alpha 1	4		collagen type V trimer			IBA	PTN002770842 	J:265628 	
MGI:88450	Col17a1	collagen, type XVII, alpha 1	19		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:88451	Col18a1	collagen, type XVIII, alpha 1	10		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:1095415	Col19a1	collagen, type XIX, alpha 1	1		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:1920618	Col20a1	collagen, type XX, alpha 1	2		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:2653243	Col23a1	collagen, type XXIII, alpha 1	11		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:1918605	Col24a1	collagen, type XXIV, alpha 1	3		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:1924268	Col25a1	collagen, type XXV, alpha 1	3		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:2155345	Col26a1	collagen, type XXVI, alpha 1	5		collagen trimer			IEA	KW-0176 	J:60000 	
MGI:2672118	Col27a1	collagen, type XXVII, alpha 1	4		collagen trimer			IEA	KW-0176 	J:60000 	
