MGI.symbol	HGNC.symbol
Fbn2	FBN2
Gldn	GLDN
Chad	CHAD
Lama4	LAMA4
Hapln1	HAPLN1
Smn1	SMN2
Vwa5a	VWA5A
Lamb1	LAMB1
Reg1	REG1A
Matn3	MATN3
Col12a1	COL12A1
Colec10	COLEC10
Col13a1	COL13A1
Lgals9	LGALS16
Lgals9	LGALS14
Lum	LUM
Adam10	ADAM10
Il6st	IL6ST
Adamts10	ADAMTS10
Wnt7a	WNT7A
Gpc3	GPC3
Mmp15	MMP15
Ntrk2	NTRK2
Osmr	OSMR
Mmp2	MMP2
Igf2r	IGF2R
Sftpa1	SFTPA2
Sftpa1	SFTPA1
Ins2	INS
Fgf10	FGF10
2300002M23Rik	C6orf15
Itih4	ITIH4
Il10ra	IL10RA
Lifr	LIFR
Insr	INSR
Hapln4	HAPLN4
Megf6	MEGF6
Fgl1	FGL1
Entpd2	ENTPD2
Eng	ENG
Matn4	MATN4
Fgfbp1	FGFBP1
Sema6d	SEMA6D
Megf9	MEGF9
Ghr	GHR
Fgfr3	FGFR3
Ins1	INS
Serpina1a	SERPINA1
Itga2	ITGA2
Ntrk3	NTRK3
Mmp1b	MMP1
Igf1	IGF1
Try4	PRSS3
Igfbp7	IGFBP7
Coch	COCH
Cilp	CILP
Ache	ACHE
Ccn3	CCN3
Hyal2	HYAL2
Sparcl1	SPARCL1
Col4a6	COL4A6
Col26a1	COL26A1
Flt4	FLT4
Igf1r	IGF1R
Prss2	PRSS3
Alpl	ALPL
Impg1	IMPG1
Hpse2	HPSE2
Mmp19	MMP19
Try10	PRSS3
B4galt1	B4GALT1
Tnfrsf11b	TNFRSF11B
Tecta	TECTA
Kdr	KDR
Epyc	EPYC
Serping1	SERPING1
Tgfbr2	TGFBR2
Impg2	IMPG2
Egflam	EGFLAM
Col8a1	COL8A1
Fstl4	FSTL4
Erbb4	ERBB4
Reg2	REG1A
Il9r	IL9R
Prss3	PRSS3
Efemp1	EFEMP1
Sfrp1	SFRP1
Adamts13	ADAMTS13
Htra3	HTRA3
Esm1	ESM1
Cfdp1	CFDP1
Col20a1	COL20A1
Elane	ELANE
Spn	SPN
Matn2	MATN2
Vcan	VCAN
Enam	ENAM
C1qtnf7	C1QTNF7
Lingo3	LINGO3
Ghrhr	GHRHR
Comp	COMP
Gfod2	GFOD2
Ngfr	NGFR
Ntn3	NTN3
Tmeff2	TMEFF2
Ltbp1	LTBP1
Reg3g	REG1B
Amtn	AMTN
Itih1	ITIH1
Itgav	ITGAV
Ctsc	CTSC
Thbs4	THBS4
Anxa3	ANXA3
Lgals3	LGALS3
Sftpd	SFTPD
Hsd17b12	HSD17B12
Plod1	PLOD1
Nrros	NRROS
Ccdc80	CCDC80
Dusp1	DUSP1
Acan	ACAN
Col6a5	COL6A5
Pcolce2	PCOLCE2
Muc1	MUC1
Adgrg1	ADGRG1
Fn1	FN1
Timp2	TIMP2
Dpt	DPT
Mmp13	MMP13
Rpsa	RPSAP58
Rpsa	RPSA
Itga6	ITGA6
Nav2	NAV2
Sort1	SORT1
C1qtnf3	C1QTNF3-AMACR
C1qtnf3	C1QTNF3
Zp3	POMZP3
Tinagl1	TINAGL1
Itln1	ITLN1
Angptl6	ANGPTL6
Lgr6	LGR6
Il11ra1	IL11RA
Furin	FURIN
Wnt11	WNT11
Angptl1	ANGPTL1
Col5a3	COL5A3
Fbn1	FBN1
Efna5	EFNA5
Igfbp1	IGFBP1
Trim16	TRIM16
Ltbp3	LTBP3
Abi3bp	ABI3BP
Col3a1	COL3A1
Anxa7	ANXA7
Crispld2	CRISPLD2
Hspg2	HSPG2
Ntn1	NTN1
Adipoq	ADIPOQ
Acvr1c	ACVR1C
Lrrc32	LRRC32
Erbb3	ERBB3
Col6a3	COL6A3
Ssc5d	SSC5D
Col9a2	COL9A2
Shh	SHH
S100a10	S100A10
Wnt4	WNT4
Mmp3	MMP3
Bcan	BCAN
Itih3	ITIH3
Epha7	EPHA7
Kng1	KNG1
Col14a1	COL14A1
Phospho1	PHOSPHO1
Col4a3	COL4A3
Wdr33	WDR33
Ccn1	CCN1
Smc3	SMC3
Egfr	EGFR
C1ql4	C1QL4
Hmcn1	HMCN1
Plekha2	PLEKHA2
Ctsb	CTSB
Olfml2b	OLFML2B
Otog	OTOG
Vwf	VWF
Sftpb	SFTPB
Ambn	AMBN
Il11ra2	IL11RA
Serpine2	SERPINE2
Tgfbr3	TGFBR3
Nkd2	NKD2
Thbs3	THBS3
Lrrc3c	LRRC3C
Kng2	KNG1
Tgfb1	TGFB1
Elfn1	ELFN1
Ntng1	NTNG1
Gh	CSH2
Gh	GH1
Gh	CSHL1
Zg16	ZG16
Vegfa	VEGFA
Ecm2	ECM2
Shc1	SHC1
Podnl1	PODNL1
Lamc2	LAMC2
C1qa	C1QA
Adam9	ADAM9
Lama2	LAMA2
Tsku	TSKU
Bmp1	BMP1
Emilin1	EMILIN1
Col9a1	COL9A1
Acvr1b	ACVR1B
C1qtnf1	C1QTNF1
S100a11	S100A11
Myoc	MYOC
Gm5771	PRSS1
Gm5771	PRSS2
Dlg1	DLG1
Cela3b	CELA3B
Cela3b	CELA3A
Calr	CALR
Hrg	HRG
Lamc1	LAMC1
Adamts19	ADAMTS19
Lrrtm4	LRRTM4
Lad1	LAD1
Acvrl1	ACVRL1
Ctss	CTSS
Lrig1	LRIG1
Rtbdn	RTBDN
Itga2b	ITGA2B
Itga7	ITGA7
Hspa9	HSPA9
Mfge8	MFGE8
Il1r1	IL1R1
Igfbp3	IGFBP3
Ptx3	PTX3
Prss1	PRSS1
Prss1	PRSS2
Ntrk1	NTRK1
Il1rl1	IL1RL1
Cpn2	CPN2
Lrrtm3	LRRTM3
Col4a4	COL4A4
Col6a6	COL6A6
Lgals4	LGALS4
Optc	OPTC
Spock2	SPOCK2
Adamts17	ADAMTS17
Smoc2	SMOC2
Otogl	OTOGL
Tgfb2	TGFB2
Ntn5	NTN5
Rell2	RELL2
Zp1	ZP1
Serac1	SERAC1
C1qb	C1QB
Col11a1	COL11A1
Lrrc24	LRRC24
Adamts14	ADAMTS14
Adamts6	ADAMTS6
Serpinc1	SERPINC1
Sparc	SPARC
S100a3	S100A3
Fbln7	FBLN7
Adamtsl4	ADAMTSL4
P3h2	P3H2
1700057G04Rik	PLSCR1
Col2a1	COL2A1
Ush2a	USH2A
Col5a2	COL5A2
P3h1	P3H1
Vwa2	VWA2
Pxdn	PXDN
Lrrtm1	LRRTM1
Ecm1	ECM1
Lamb2	LAMB2
Tnr	TNR
Itgb4	ITGB4
Mgp	MGP
F3	F3
Nid1	NID1
Marco	MARCO
Mepe	MEPE
Col25a1	COL25A1
Lrrn2	LRRN2
Insl5	INSL5
Agrn	AGRN
Ahsg	AHSG
Otol1	OTOL1
Prss3	PRSS1
Prss3	PRSS2
Col23a1	COL23A1
Pkm	PKM
Snorc	SNORC
Gp1ba	GP1BA
Trf	TF
Plxna2	PLXNA2
C1ql1	C1QL1
Scn5a	SCN5A
Dag1	DAG1
Nphs1	NPHS1
Try10	PRSS1
Try10	PRSS2
Prss2	PRSS1
Prss2	PRSS2
Thsd4	THSD4
Hnrnpm	HNRNPM
Lrrc15	LRRC15
Lox	LOX
Timp4	TIMP4
Pdgfrb	PDGFRB
Col16a1	COL16A1
Pdgfa	PDGFA
Wnt5a	WNT5A
Ccn2	CCN2
Adamts4	ADAMTS4
Mmp25	MMP25
Mfap4	MFAP4
Lingo4	LINGO4
Lrig2	LRIG2
Fmod	FMOD
Wnt5b	WNT5B
Il16	IL16
Apoe	APOE
Oc90	OC90
Adamtsl5	ADAMTSL5
Adamts15	ADAMTS15
Serpini2	SERPINI2
Ltbp4	LTBP4
Thbs2	THBS2
Prg4	PRG4
Ncl	NCL
Col8a2	COL8A2
Angpt2	ANGPT2
S100a6	S100A6
Hapln2	HAPLN2
Tgfbr3l	TGFBR3L
Acvr2a	ACVR2A
Acvr1	ACVR1
Dmp1	DMP1
Fgfr4	FGFR4
Hax1	HAX1
Try4	PRSS1
Try4	PRSS2
Anxa9	ANXA9
Mmp23	MMP23B
Mfap2	MFAP2
Adamts9	ADAMTS9
Mmp17	MMP17
Angptl4	ANGPTL4
Plscr2	PLSCR1
Eln	ELN
Ccn6	CCN6
Erbb2	ERBB2
Plscr1	PLSCR1
Wnt2	WNT2
Lingo1	LINGO1
Hapln3	HAPLN3
Colq	COLQ
Acvr2b	ACVR2B
Epha8	EPHA8
Col1a2	COL1A2
Adamts20	ADAMTS20
Vit	VIT
Fgfr1	FGFR1
Angpt1	ANGPT1
Vwa1	VWA1
Lypd3	LYPD3
Mmp12	MMP12
Cxcl13	CXCL13
Lamb3	LAMB3
Bmpr2	BMPR2
Col1a1	COL1A1
Lgals9	LGALS13
Rps2	RPS2
Lrp2	LRP2
Il1rn	IL1RN
Ihh	IHH
Tnn	TNN
Muc4	MUC4
Prelp	PRELP
Smn1	SMN1
C1qc	C1QC
Col11a2	COL11A2
Ngly1	NGLY1
Il1r2	IL1R2
S100a13	S100A13
Pmp22	PMP22
Notch2	NOTCH2
Htra4	HTRA4
Spp1	SPP1
Il6ra	IL6R
Fam20b	FAM20B
Ovgp1	OVGP1
